App Id,App Name,Keyword,Brand,Volume,Difficulty,Chance,KEI,Results,Rank,Rank Status,Growth (Yesterday),Monthly Downloads,Maximum Reach,Conversion Rate,Relevancy Score
1668337467,Jupi AI Chat Fantasy Roleplay,poly ai,true,79,48,39,65,217,18,ranked,0,0,1366090,0,null
1668337467,Jupi AI Chat Fantasy Roleplay,poly aı,false,79,4,73,100,216,66,ranked,-5,287,1360037,0.02,null
1668337467,Jupi AI Chat Fantasy Roleplay,character ai,true,76,52,35,59,227,31,ranked,0,0,890135,0,null
1668337467,Jupi AI Chat Fantasy Roleplay,chai,true,75,42,45,68,198,61,ranked,3,0,793441,0,null
1668337467,Jupi AI Chat Fantasy Roleplay,ai,false,74,81,13,35,229,20,ranked,0,1685,691780,0.24,null
1668337467,Jupi AI Chat Fantasy Roleplay,aı,false,74,48,39,62,216,25,ranked,-1,111,709300,0.02,null
1668337467,Jupi AI Chat Fantasy Roleplay,c ai,true,72,46,41,63,232,51,ranked,-1,0,521512,0,null
1668337467,Jupi AI Chat Fantasy Roleplay,talkie,true,70,47,84,100,215,5,ranked,0,1914,411528,0.47,null
1668337467,Jupi AI Chat Fantasy Roleplay,cai,true,70,47,40,60,226,35,ranked,1,0,401114,0,null
1668337467,Jupi AI Chat Fantasy Roleplay,polybuzz,true,69,57,31,51,26,11,ranked,-1,52,354063,0.01,null
1668337467,Jupi AI Chat Fantasy Roleplay,poly,true,68,54,33,52,228,87,ranked,-1,0,304395,0,null
1668337467,Jupi AI Chat Fantasy Roleplay,ai chat,false,62,68,72,86,224,10,ranked,0,656,132945,0.49,null
1668337467,Jupi AI Chat Fantasy Roleplay,spicy chat ai,false,62,42,45,60,182,22,ranked,0,192,141162,0.14,null
1668337467,Jupi AI Chat Fantasy Roleplay,ai fantasy,true,57,41,78,87,198,7,ranked,0,185,70631,0.26,null
1668337467,Jupi AI Chat Fantasy Roleplay,talkie ai,true,55,40,79,86,210,8,ranked,0,247,51139,0.48,null
1668337467,Jupi AI Chat Fantasy Roleplay,chat ai,false,54,76,16,30,223,59,ranked,2,0,44948,0,null
1668337467,Jupi AI Chat Fantasy Roleplay,pollybuzz,true,53,61,83,88,26,6,ranked,0,24,40382,0.06,null
1668337467,Jupi AI Chat Fantasy Roleplay,talkie ai chat with character,false,52,23,64,71,194,16,ranked,-3,39,35275,0.11,null
1668337467,Jupi AI Chat Fantasy Roleplay,final fantasy,true,52,56,32,43,219,89,ranked,3,0,34698,0,null
