App Id,App Name,Keyword,Brand,Volume,Difficulty,Chance,KEI,Results,Rank,Rank Status,Growth (Yesterday),Monthly Downloads,Maximum Reach,Conversion Rate,Relevancy Score
6738872717,RolePlay AI: Spicy chat,spicy,false,50,19,32,42,220,16,ranked,0,171,27450,0.62,null
6738872717,RolePlay AI: Spicy chat,spicy chat,true,46,38,17,27,205,11,ranked,0,24,15612,0.15,null
6738872717,RolePlay AI: Spicy chat,ai girlfriend 18,false,45,0,86,83,158,4,ranked,0,433,13712,3.16,null
6738872717,RolePlay AI: Spicy chat,c ai 18,false,45,10,40,46,127,52,ranked,0,0,13918,0,null
6738872717,RolePlay AI: Spicy chat,spicychat ai,true,44,46,12,22,187,33,ranked,0,1,10989,0.01,null
6738872717,RolePlay AI: Spicy chat,spicychat,true,43,38,17,26,184,11,ranked,0,22,10798,0.2,null
6738872717,RolePlay AI: Spicy chat,hi waifu,true,43,37,17,26,77,48,ranked,-12,0,10671,0,null
6738872717,RolePlay AI: Spicy chat,hiwaifu,true,40,39,16,24,51,33,ranked,0,0,6727,0,null
6738872717,RolePlay AI: Spicy chat,dippy ai,false,38,2,73,66,11,9,ranked,-1,43,5458,0.79,null
6738872717,RolePlay AI: Spicy chat,spicy ai,false,37,39,74,65,205,10,ranked,0,28,4395,0.64,null
6738872717,RolePlay AI: Spicy chat,dippy,false,36,2,86,73,14,5,ranked,0,57,3966,1.44,null
6738872717,RolePlay AI: Spicy chat,jupi,true,33,10,40,37,34,16,ranked,0,0,2806,0,null
6738872717,RolePlay AI: Spicy chat,roleplay chat,false,32,37,17,20,221,91,ranked,-1,0,2389,0,null
6738872717,RolePlay AI: Spicy chat,ai sexbot,false,29,12,85,62,41,6,ranked,0,59,1527,3.86,null
6738872717,RolePlay AI: Spicy chat,nudity,false,29,0,50,39,62,29,ranked,0,0,1579,0,null
6738872717,RolePlay AI: Spicy chat,igirl,true,27,4,94,64,62,3,ranked,0,10,1199,0.83,null
6738872717,RolePlay AI: Spicy chat,flowgpt,false,26,17,33,26,46,20,ranked,-1,2,1042,0.19,null
6738872717,RolePlay AI: Spicy chat,roleplay ai,true,23,36,18,16,214,45,ranked,1,0,683,0,null
6738872717,RolePlay AI: Spicy chat,hentia,false,23,19,32,23,165,84,ranked,1,0,653,0,null
6738872717,RolePlay AI: Spicy chat,ai role play,false,21,32,88,51,210,4,ranked,0,26,522,4.98,null
6738872717,RolePlay AI: Spicy chat,spark ai,false,20,12,38,24,217,96,ranked,1,0,441,0,null
6738872717,RolePlay AI: Spicy chat,ai girlfriend roleplay chat,false,19,4,94,51,191,3,ranked,0,50,390,12.82,null
6738872717,RolePlay AI: Spicy chat,spicyai,false,19,39,74,41,205,10,ranked,0,3,414,0.72,null
6738872717,RolePlay AI: Spicy chat,play ai,false,19,31,22,15,217,77,ranked,0,0,425,0,null
6738872717,RolePlay AI: Spicy chat,spicychatai,true,18,39,16,12,187,28,ranked,0,0,349,0,null
6738872717,RolePlay AI: Spicy chat,ai spicy,false,18,39,16,12,202,54,ranked,0,0,334,0,null
6738872717,RolePlay AI: Spicy chat,spicy ai chat,false,17,38,87,44,179,4,ranked,0,10,316,3.16,null
6738872717,RolePlay AI: Spicy chat,18 ai chat,false,15,30,97,46,198,2,ranked,0,39,232,16.81,null
6738872717,RolePlay AI: Spicy chat,free ai roleplay,false,15,21,94,45,235,2,ranked,0,19,231,8.23,null
6738872717,RolePlay AI: Spicy chat,dreamgf,false,15,3,47,24,38,31,ranked,0,0,238,0,null
6738872717,RolePlay AI: Spicy chat,ehentai,false,14,19,32,16,162,61,ranked,3,0,204,0,null
6738872717,RolePlay AI: Spicy chat,role play ai,true,14,36,18,11,213,72,ranked,-1,0,202,0,null
6738872717,RolePlay AI: Spicy chat,role ai,false,14,18,33,17,213,76,ranked,0,0,205,0,null
6738872717,RolePlay AI: Spicy chat,ai hot,false,14,12,38,19,212,79,ranked,undefined,0,200,0,null
6738872717,RolePlay AI: Spicy chat,spicy apps,false,14,19,32,16,214,87,ranked,0,0,209,0,null
