App Id,App Name,Keyword,Brand,Volume,Difficulty,Chance,KEI,Results,Rank,Rank Status,Growth (Yesterday),Monthly Downloads,Maximum Reach,Conversion Rate,Relevancy Score
6479497772,Spicy AI: 18+ Girlfriend Chat,poly ai,true,79,48,11,35,217,55,ranked,3,0,1366090,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,poly aı,false,79,4,46,72,216,70,ranked,7,0,1360037,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,character ai,true,76,52,9,32,227,68,ranked,5,0,890135,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,c ai,true,72,46,12,33,232,53,ranked,4,0,521512,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai fantasy,true,57,41,15,30,198,37,ranked,0,0,70631,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,talkie ai chat with character,false,52,23,28,39,194,71,ranked,3,0,35275,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,replika,true,51,30,22,34,200,16,ranked,1,0,30973,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,crushon ai,true,51,44,13,26,231,21,ranked,0,0,29478,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,spicy,false,50,19,74,78,220,10,ranked,0,391,27450,1.42,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai girlfriend,false,50,14,36,45,182,44,ranked,2,37,28482,0.13,null
6479497772,Spicy AI: 18+ Girlfriend Chat,aı girlfriend,false,50,0,50,57,167,70,ranked,18,0,25757,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,linky,true,49,37,17,28,155,30,ranked,5,0,22928,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai chat 18,false,48,16,73,75,202,10,ranked,0,1035,20400,5.07,null
6479497772,Spicy AI: 18+ Girlfriend Chat,hi ai,true,48,37,17,28,226,11,ranked,2,40,20600,0.19,null
6479497772,Spicy AI: 18+ Girlfriend Chat,candy ai,false,46,38,76,76,226,8,ranked,0,110,15954,0.69,null
6479497772,Spicy AI: 18+ Girlfriend Chat,spicy chat,true,46,38,17,27,205,13,ranked,1,2,15612,0.01,null
6479497772,Spicy AI: 18+ Girlfriend Chat,candy aı,false,46,0,50,54,209,46,ranked,7,0,15496,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,c ai 18,false,45,10,89,86,127,4,ranked,0,359,13918,2.58,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai girlfriend 18,false,45,0,83,81,158,5,ranked,2,360,13712,2.63,null
6479497772,Spicy AI: 18+ Girlfriend Chat,polyai,true,45,43,14,24,214,56,ranked,-7,0,13588,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,polly ai,true,44,44,13,23,218,12,ranked,0,14,11922,0.12,null
6479497772,Spicy AI: 18+ Girlfriend Chat,spicychat ai,true,44,46,12,22,187,35,ranked,1,0,10989,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,hi waifu,true,43,37,17,26,77,12,ranked,30,26,10671,0.24,null
6479497772,Spicy AI: 18+ Girlfriend Chat,spicychat,true,43,38,17,26,184,14,ranked,0,3,10798,0.03,null
6479497772,Spicy AI: 18+ Girlfriend Chat,nsfw,false,42,47,12,21,193,22,ranked,0,75,9088,0.83,null
6479497772,Spicy AI: 18+ Girlfriend Chat,chai ai,true,42,47,12,21,216,47,ranked,1,0,8787,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,hiwaifu,true,40,39,16,24,51,11,ranked,1,17,6727,0.25,null
6479497772,Spicy AI: 18+ Girlfriend Chat,fantasy ai,false,40,36,18,25,203,56,ranked,3,0,7050,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,linky ai,true,39,37,17,24,83,20,ranked,1,0,6054,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,hot girls,false,39,11,39,41,205,33,ranked,2,9,5994,0.15,null
6479497772,Spicy AI: 18+ Girlfriend Chat,poly si,true,39,40,16,23,217,80,ranked,3,0,5673,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai gf,false,38,17,33,36,199,27,ranked,2,14,5232,0.27,null
6479497772,Spicy AI: 18+ Girlfriend Chat,girlfriend,false,38,2,48,47,206,30,ranked,4,0,4940,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai roleplay,false,38,43,14,21,212,32,ranked,1,8,5219,0.15,null
6479497772,Spicy AI: 18+ Girlfriend Chat,candy chat,true,38,22,29,33,200,64,ranked,1,0,5254,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,spicy ai,false,37,39,16,22,205,11,ranked,0,54,4395,1.23,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai girlfriend 18 free,false,37,12,38,39,229,30,ranked,2,0,4710,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,poll chat,false,37,3,47,45,75,40,ranked,0,0,4743,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai girl,false,36,19,32,33,205,29,ranked,8,0,3971,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,poly so,false,36,42,14,20,214,94,ranked,14,0,4048,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,nsfw ai,false,35,45,13,19,199,17,ranked,1,14,3408,0.41,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai character chat,false,35,51,10,17,206,67,ranked,6,0,3599,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,waifu,true,35,2,48,44,196,75,ranked,8,0,3436,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,character ai 18,false,34,19,83,68,133,5,ranked,0,153,3024,5.06,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ch ai,true,34,50,10,16,226,51,ranked,0,0,3118,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,raiplay,true,34,19,32,32,106,60,ranked,0,0,3162,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,replika ai,true,34,25,26,28,198,74,ranked,9,0,3070,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,pollo ai,false,32,49,10,15,49,22,ranked,5,0,2420,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai character,false,32,46,12,17,231,87,ranked,7,0,2286,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai companion,false,31,10,40,35,218,32,ranked,5,1,2020,0.05,null
6479497772,Spicy AI: 18+ Girlfriend Chat,poli ai,true,31,40,16,19,217,47,ranked,0,0,2013,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,pily ai,true,31,48,11,16,211,48,ranked,2,0,1982,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ploy ai,true,31,44,13,17,211,50,ranked,2,0,2040,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai poly,false,31,45,13,17,214,61,ranked,4,0,2040,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,spicy games,false,31,9,41,35,228,62,ranked,2,0,2052,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,salsa,false,31,18,33,30,209,72,ranked,3,0,2163,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,hiai,false,30,35,19,20,234,12,ranked,0,17,1744,0.97,null
6479497772,Spicy AI: 18+ Girlfriend Chat,18 ai,false,30,35,19,20,211,34,ranked,10,0,1699,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,waifu ai,false,30,2,48,39,198,67,ranked,9,0,1826,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai sexbot,false,29,12,38,32,41,13,ranked,0,2,1527,0.13,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai nsfw,false,29,48,11,15,192,71,ranked,11,0,1511,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,talkie chat,true,29,36,18,19,205,82,ranked,3,0,1536,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,crush on ai,true,28,44,13,15,228,21,ranked,1,0,1368,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,candy ai 18 character ai chat,false,28,22,29,25,75,26,ranked,-12,0,1301,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,charater ai,true,28,52,9,13,223,56,ranked,8,0,1344,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,free ai girlfriend,false,28,1,49,38,233,70,ranked,5,0,1369,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,al girlfriend,false,28,14,36,30,204,79,ranked,12,0,1378,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai 18,false,27,39,16,17,201,33,ranked,2,0,1131,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai chat girlfriend,false,27,2,48,36,200,64,ranked,10,0,1162,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ca ai,true,27,45,13,15,218,68,ranked,-7,0,1213,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,hot ai,false,27,3,47,36,210,83,ranked,7,0,1169,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,adult ai,false,26,22,75,51,229,9,ranked,0,6,1005,0.6,null
6479497772,Spicy AI: 18+ Girlfriend Chat,flowgpt,false,26,17,33,26,46,22,ranked,2,2,1042,0.19,null
6479497772,Spicy AI: 18+ Girlfriend Chat,crush ai,false,26,29,23,20,231,42,ranked,3,0,1011,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,nsfw ai chat,false,26,33,20,19,136,60,ranked,3,0,1038,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai chat roleplay,false,26,37,17,17,211,70,ranked,8,0,1020,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,poly ak,true,26,33,20,19,211,89,ranked,9,0,1030,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,hot chat,false,26,17,33,26,211,97,ranked,undefined,0,995,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,fantasy ai chat,false,25,35,19,17,199,38,ranked,9,0,898,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,18 birdies free,true,25,8,42,31,230,45,ranked,5,0,867,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,poly aj,true,25,35,19,17,214,45,ranked,0,0,872,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,talki ai,false,25,31,22,19,194,83,ranked,15,0,922,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,crushon ai ai friend chat,false,24,26,26,21,62,38,ranked,0,0,804,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,linky chat with characters ai,true,23,29,23,18,65,35,ranked,-2,0,693,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ply ai,false,23,41,15,14,215,58,ranked,5,0,664,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,candyai,true,22,35,82,49,199,7,ranked,0,2,603,0.33,null
6479497772,Spicy AI: 18+ Girlfriend Chat,hi ai chat with ai character,false,22,9,41,27,64,30,ranked,1,0,600,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,girlfriend ai,false,22,6,44,29,193,55,ranked,6,0,640,0,null
6479497772,Spicy AI: 18+ Girlfriend Chat,ai chatbot 18,false,22,30,22,17,143,59,ranked,3,0,625,0,null
